municip_code_ibge,year,lon,lat,population,urban10,water_network,total_collected,level18_num,dengue_year,DIR,outbreak
3300100,2001,-44.2357590236778,-23.1555467877819,123307,96.32,88.59,98.86,3,658,533.62745018531,1
3300100,2002,-44.2357590236778,-23.1555467877819,126333,96.32,88.59,98.86,3,4394,3478.10944092201,1
3300100,2003,-44.2357590236778,-23.1555467877819,129621,96.32,88.59,98.86,3,123,94.8920313838036,0
3300100,2004,-44.2357590236778,-23.1555467877819,136525,96.32,88.59,98.86,3,36,26.3687969236404,0
3300100,2005,-44.2357590236778,-23.1555467877819,140345,96.32,88.59,98.86,3,32,22.8009547899818,0
3300100,2006,-44.2357590236778,-23.1555467877819,144137,96.32,88.59,98.86,3,5525,3833.1587309296,1
3300100,2007,-44.2357590236778,-23.1555467877819,148476,96.32,88.59,98.86,3,292,196.664780840001,0
3300100,2008,-44.2357590236778,-23.1555467877819,164191,96.32,88.59,98.86,3,10534,6415.69878982405,1
3300100,2009,-44.2357590236778,-23.1555467877819,168664,96.32,88.59,98.86,3,208,123.322107859413,0
3300100,2010,-44.2357590236778,-23.1555467877819,169270,96.32,88.59,98.86,3,836,493.885508359426,1
3300100,2011,-44.2357590236778,-23.1555467877819,173370,96.32,88.59,98.86,3,4158,2398.33881294342,1
3300100,2012,-44.2357590236778,-23.1555467877819,177101,96.32,88.59,98.86,3,1296,731.785817132597,1
3300100,2013,-44.2357590236778,-23.1555467877819,181486,96.32,88.59,98.86,3,7727,4257.62868761227,1
3300100,2014,-44.2357590236778,-23.1555467877819,184940,96.32,88.59,98.86,3,59,31.9022385638586,0
3300100,2015,-44.2357590236778,-23.1555467877819,188276,96.32,88.59,98.86,3,8170,4339.37411034864,1
3300100,2016,-44.2357590236778,-23.1555467877819,191504,96.32,88.59,98.86,3,1119,584.321998496115,1
3300100,2017,-44.2357590236778,-23.1555467877819,194619,96.32,88.59,98.86,3,396,203.474480908853,0
3300100,2018,-44.2357590236778,-23.1555467877819,200407,96.32,88.59,98.86,3,138,68.8598701642158,0
3300100,2019,-44.2357590236778,-23.1555467877819,203785,96.32,88.59,98.86,3,847,415.634124199524,1
3300100,2020,-44.2357590236778,-23.1555467877819,207044,96.32,88.59,98.86,3,150,72.4483684627422,0
3300159,2001,-42.1346509335482,-21.6523815621687,8205,86.89,86.9,87.94,4,49,597.196831200488,1
3300159,2002,-42.1346509335482,-21.6523815621687,8377,86.89,86.9,87.94,4,23,274.561298794318,0
3300159,2003,-42.1346509335482,-21.6523815621687,8544,86.89,86.9,87.94,4,6,70.2247191011236,0
3300159,2004,-42.1346509335482,-21.6523815621687,8893,86.89,86.9,87.94,4,0,0,0
3300159,2005,-42.1346509335482,-21.6523815621687,9087,86.89,86.9,87.94,4,0,0,0
3300159,2006,-42.1346509335482,-21.6523815621687,9279,86.89,86.9,87.94,4,1,10.7770233861407,0
